id,content,date,retweets,favorites,mentions,hashtags,,,,,,,
1.21454E+18,Great interview with @ GOPLeader Kevin McCarthy on @ foxandfriends. “There was no urgency with the Articles of Impeachment because there was no case.�?2020-01-07 07:27:12,24077,137503,"@GOPLeader,@foxandfriends",,,,,,,,,
1.21462E+18,"Had a very good meeting with @ kbsalsaud of Saudi Arabia. We discussed Trade, Military, Oil Prices, Security, and Stability in the Middle East!",2020/1/7 13:05,33837,227843,@kbsalsaud,,,,,,,,
1.21474E+18,"All is well! Missiles launched from Iran at two military bases located in Iraq. Assessment of casualties & damages taking place now. So far, so good! We have the most powerful and well equipped military anywhere in the world, by far! I will be making a statement tomorrow morning.",2020/1/7 20:45,149644,737415,,,,,,,,,
1.21524E+18,See you later!https://twitter.com/TeamTrump/status/1215135496155860992 �?2020-01-09 05:47:40,15377,82331,,,,,,,,,,
1.21524E+18,WINRED!https://twitter.com/GOPChairwoman/status/1215112427756498945 �?2020-01-09 05:49:31,9141,42528,,,,,,,,,,
1.21524E+18,Great!https://twitter.com/LindseyGrahamSC/status/1214207553971924996 �?2020-01-09 05:58:51,10489,52663,,,,,,,,,,
1.21525E+18,"Pelosi doesn’t want to hand over The Articles of Impeachment, which were fraudulently produced by corrupt politicians like Shifty Schiff in the first place, because after all of these years of investigations and persecution, they show no crimes and are a joke and a scam!",2020/1/9 6:21,35682,193705,,,,,,,,,
1.21525E+18,Thank you Elise!https://twitter.com/EliseStefanik/status/1215116528284315648 �?2020-01-09 06:24:31,12407,51038,,,,,,,,,,
1.21525E+18,PRESIDENTIAL HARASSMENT!,2020/1/9 6:30,30134,192474,,,,,,,,,
1.21526E+18,"Hope that all House Republicans will vote against Crazy Nancy Pelosi’s War Powers Resolution. Also, remember her “speed & rush�?in getting the Impeachment Hoax voted on & done. Well, she never sent the Articles to the Senate. Just another Democrat fraud. Presidential Harassment!",2020/1/9 7:20,30764,149696,,,,,,,,,
1.21527E+18,"Breaking News: The Fifth Circuit Court of Appeals just reversed a lower court decision & gave us the go ahead to build one of the largest sections of the desperately needed Southern Border Wall, Four Billion Dollars. Entire Wall is under construction or getting ready to start!",2020/1/9 7:46,44242,214067,,,,,,,,,
1.21529E+18,U.S. Cancer Death Rate Lowest In Recorded History! A lot of good news coming out of this Administration.,2020/1/9 9:00,24233,158311,,,,,,,,,
1.2153E+18,"STOCK MARKET AT ALL-TIME HIGH! HOW ARE YOUR 401K’S DOING? 70%, 80%, 90% up? Only 50% up! What are you doing wrong?",2020/1/9 9:47,26692,167062,,,,,,,,,
1.21533E+18,Happy National Law Enforcement Appreciation Day! # LESMpic.twitter.com/kNN3RetVvs,2020/1/9 11:59,25419,129769,,#LESMpic,,,,,,,
1.2154E+18,Thank you!https://twitter.com/StewardshipAmer/status/1215304359984001025 �?2020-01-09 16:10:22,11981,59540,,,,,,,,,,
1.2154E+18,"Smart analysis, I fully agree!https://twitter.com/AmbJohnBolton/status/1215238525840429056 �?,2020-01-09 16:34:17,14946,61208,,
1215405367229739008,https://twitter.com/realDonaldTrump/status/1215405367229739008,95% Approval Rating in the Republican Party. Thank you!,2020-01-09 16:49:55,25152,213038,,
1215406817297088512,https://twitter.com/realDonaldTrump/status/1215406817297088512,Heading to Toledo", Ohio," for first Rally of the year. Tremendous crowd. Here we go for a big 2020 Win!""",2020/1/9 16:55,21261,163409,,,,,,,
1.21545E+18,"THANK YOU TOLEDO, OHIO!https://twitter.com/i/broadcasts/1BRJjqZggYVGw �?,2020-01-09 19:57:45,17588,80215,,
1215454244519718912,https://twitter.com/realDonaldTrump/status/1215454244519718912,Under my administration"," we will NEVER make excuses for America’s enemies �?we will never hesitate in defending American lives �?and we will never stop working to defeat Radical Islamic Terrorism!pic.twitter.com/022PjwhHjs""",2020/1/9 20:04,28078,138476,,,,,,,,
1.21546E+18,"After years of rebuilding OTHER nations, we are finally rebuilding OUR nation. We are finally putting AMERICA FIRST! # KAG2020pic.twitter.com/azKL54A6BU",2020/1/9 20:07,16864,76802,,#KAG2020pic,,,,,,,
1.21546E+18,"Democrats are now the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corruption. The Republican Party is the party of the American Worker, the American Family, and the American Dream! # KAG2020pic.twitter.com/05XRX2odxN",2020/1/9 20:15,26332,106269,,#KAG2020pic,,,,,,,
1.21562E+18,Wow! Thank you Greg. Hope I live up to your expectations.https://twitter.com/DanScavino/status/1215493394237095936 �?2020-01-10 06:55:27,18739,81179,,,,,,,,,,
1.21562E+18,"Great interview this morning by @ foxandfriends with some of the fantastic people who attended the big Rally last night in Toledo, Ohio. Thank you. Such amazing energy!",2020/1/10 7:04,13609,85269,@foxandfriends,,,,,,,,
1.21563E+18,I agree. Jovita will do a great job!https://twitter.com/SenatorRisch/status/1214618992930959360 �?2020-01-10 07:25:44,5854,29468,,,,,,,,,,
1.21563E+18,Thank you Mike!https://twitter.com/SenatorEnzi/status/1214608814185631749 �?2020-01-10 07:27:38,5744,28297,,,,,,,,,,
1.21563E+18,We will get this done for our great Miners!https://twitter.com/Sen_JoeManchin/status/1206614769433808896 �?2020-01-10 07:39:42,13212,58870,,,,,,,,,,
1.21565E+18,"�?1,000 points gained in the Dow in the 3 years since the Election of President Trump. Today it may hit 29,000. That has NEVER happened before in that time frame. That has added 12.8 Trillion Dollars to the VALUE of American Business.�?@ Varneyco @ FoxNews The best is yet to come!",2020/1/10 9:08,28814,137770,"@Varneyco,@FoxNews",,,,,,,,
1.21565E+18,“I’ve been doing this for 40 years and I’ve never seen anything like this (Economy).�?@ Varneyco @ foxandfriends,2020/1/10 9:11,16110,83862,"@Varneyco,@foxandfriends",,,,,,,,
1.21566E+18,I love constantly proving them wrong. It’s easy!https://twitter.com/debrajsaunders/status/1215259547842969600 �?2020-01-10 09:31:27,17270,75344,,,,,,,,,,
1.21566E+18,She will go down as perhaps the least successful Speaker in U.S. History!https://twitter.com/MZHemingway/status/1215259431166005248 �?2020-01-10 09:37:36,23418,116140,,,,,,,,,,
1.21578E+18,Will be interviewed tonight by Laura @ IngrahamAngle at 10pmE on @ FoxNews. Enjoy!,2020/1/10 17:32,14483,87198,"@IngrahamAngle,@FoxNews",,,,,,,,
1.21599E+18,"“FBI Director apologizes for FISA Errors (of which there were far to many to be a coincidence!).�?@ FoxNews Chris, what about all of the lives that were ruined because of the so-called “errors?�?Are these “dirty cops�?going to pay a big price for the fraud they committed?",2020/1/11 7:38,34787,128553,@FoxNews,,,,,,,,
1.216E+18,"Where have the Radical Left, Do Nothing Democrats gone when they have spent the last 3 days defending the life of Qassem Soleimani, one of the worst terrorists in history and the father of the roadside bomb? He was also looking to do big future damage! Dems are “unhinged.�?,2020-01-11 08:07:38,33294,156000,,
1216000651475460099,https://twitter.com/realDonaldTrump/status/1216000651475460099,New polling shows that the totally partisan Impeachment Hoax is going nowhere. A vast majority want the Do Nothing Democrats to move on to other things now!,2020-01-11 08:15:22,17562,90954,,
1216001273725685761,https://twitter.com/realDonaldTrump/status/1216001273725685761,Nancy Pelosi will go down as the absolute worst Speaker of the House in U.S. history!,2020-01-11 08:17:50,34880,205513,,
1216004241418047488,https://twitter.com/realDonaldTrump/status/1216004241418047488,Now the Radical Left", Do Nothing Democrats, are asking @ senatemajldr Mitch McConnell to do the job that they were unable to do. They proved NOTHING but my total innocence in the House," despite the most unfair & biased hearings in the history of Congress. Now they demand fairness!""",2020/1/11 8:29,19747,87154,@senatemajldr,,,,,
