id,timestamp,tweet,replies,retweets,quotes,likes,,,
1.21655E+18,2020/1/13 2:26,Puerto Rico should not be treated any differently than if this happened anywhere else in America �?it's wrong. We should be surging all the help that is needed to fix the damage done by the earthquakes. https://t.co/AIAuQy2Fjs,392,2683,91,10299,,,
1.21676E+18,2020/1/13 16:26,"Cory, you campaigned with joy and heart, and instead of just talking about bringing people together, you did it every day. You made our politics better just by running. Grateful to you and looking forward to your continued leadership.",783,4238,230,38098,,,
1.21679E+18,2020/1/13 18:25,"Come on. Your administration has been arguing in court to repeal protections for people with pre-existing conditions.

You're trying to take health care away from millions of people. The least you could do is be honest about it. https://t.co/T0XxHFgy44",1281,8357,391,29696,,,
1.21682E+18,2020/1/13 20:25,"Donald Trump has no strategy when it comes to Iran. No endgame. The only way out of his self-made crisis is through diplomacy �?clear-eyed, hard-nosed diplomacy grounded in strategy, that's not about one-off decisions or one-upmanship. https://t.co/yfb8OE98Xu",936,1571,129,6097,,,
1.21684E+18,2020/1/13 22:01,"Transit workers are being attacked every day, often while buses are moving, putting bus drivers and riders in harm's way. That's why I strongly support the Transit Worker and Pedestrian Protection Act to protect our workers from harm while doing their job. https://t.co/4nbHsjtKRr",132,309,9,1277,,,
1.21687E+18,2020/1/14 0:03,"When we said to give us your tired, poor, and huddled masses, we absolutely did not mean ""unless they are fleeing violence."" https://t.co/OeIWRpPC8I",457,1271,57,5362,,,
1.21689E+18,2020/1/14 1:05,"The stakes of this election could not be higher. Eight years of Donald Trump will fundamentally alter the character of our nation. We can't let that happen.

We have to do everything in our power to make him a one-term president.",1263,2971,230,14779,,,
1.21691E+18,2020/1/14 2:12,"From day one, Donald Trump has been determined to roll back every environmental protection he could get his hands on.

At a time when the climate crisis is pushing our planet to the brink, we should strengthen protections �?not weaken them. https://t.co/RPfnT2Fz9y",739,2606,136,8056,,,
1.21692E+18,2020/1/14 3:10,"I'm married to a teacher, I see firsthand how difficult it is. We've got to let educators do their job so our students can succeed - that means paying them the salaries they deserve and giving them the respect that they've earned. https://t.co/iRLj2DPa2o",403,1918,60,9386,,,
1.21709E+18,2020/1/14 14:30,"Why are you so obsessed with me, Mr. President? https://t.co/BbAawEvQo6",3832,9081,1150,44544,,,
1.21715E+18,2020/1/14 18:05,"We’re in a battle for the soul of our nation �?and Donald Trump is poison to our soul. He has:

- Fanned the flames of hatred and bigotry
- Embraced dictators
- Ripped children from their parents' arms
- Degraded our national character

We have to get him out of the White House.",2654,7776,453,35409,,,
1.2172E+18,2020/1/14 21:34,"Donald Trump has once again sided with corporations over American workers by making it easier for them to get away with wage theft and overtime violations.

It's time we put workers' rights over corporate greed and ensure everyone has the workplace protections they deserve. https://t.co/6SgkalkZCT",349,1579,43,4426,,,
1.21725E+18,2020/1/15 1:01,So much of what’s tearing this country apart can be fixed if we treat each other with basic dignity and respect once again. That starts with having a president who leads by example. https://t.co/izfs0K7Jk0,392,1367,74,6665,,,
